tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	10320	0	live	IKZF1	CVID13, Hs.54452, IK1, IKAROS, LYF1, LyF-1, PPP1R92, PRO0758, ZNFN1A1	IKAROS family zinc finger 1	DNA-binding protein Ikaros|CLL-associated antigen KW-6|ikaros family zinc finger protein 1|lymphoid transcription factor LyF-1|protein phosphatase 1, regulatory subunit 92|zinc finger protein, subfamily 1A, 1 (Ikaros)	7p12.2	7	NC_000007.14	50303453	50405101	plus	15	603023	
9606	Homo sapiens	84159	0	live	ARID5B	DESRT, MRF-2, MRF2	AT-rich interaction domain 5B	AT-rich interactive domain-containing protein 5B|ARID domain-containing protein 5B|AT-rich interactive domain 5B (MRF1-like)|MRF1-like protein|modulator recognition factor 2 (MRF2)	10q21.2	10	NC_000010.11	61901254	62096948	plus	12	608538	
9606	Homo sapiens	1053	0	live	CEBPE	C/EBP-epsilon, CRP1	CCAAT enhancer binding protein epsilon	CCAAT/enhancer-binding protein epsilon|CCAAT/enhancer binding protein (C/EBP), epsilon|c/EBP epsilon	14q11.2	14	NC_000014.9	23117306	23119611	minus	2	600749	
9606	Homo sapiens	1644	0	live	DDC	AADC	dopa decarboxylase	aromatic-L-amino-acid decarboxylase|dopa decarboxylase (aromatic L-amino acid decarboxylase)	7p12.2-p12.1	7	NC_000007.14	50458436	50565460	minus	18	107930	
9606	Homo sapiens	7102	0	live	TSPAN7	A15, CCG-B7, CD231, DXS1692E, MRX58, MXS1, TALLA-1, TM4SF2, TM4SF2b	tetraspanin 7	tetraspanin-7|CD231 antigen|T-cell acute lymphoblastic leukemia associated antigen 1|cell surface glycoprotein A15|membrane component chromosome X surface marker 1|membrane component, X chromosome, surface marker 1|tetraspanin protein|transmembrane 4 superfamily 2b|transmembrane 4 superfamily member 2|transmembrane protein A15|tspan-7	Xp11.4	X	NC_000023.11	38561478	38688918	plus	8	300096	
9606	Homo sapiens	8009	0	live	LALL		Lymphomatous acute lymphoblastic leukemia		9p22-p21	9						247640	
9606	Homo sapiens	101928483	0	live	NALT1	LINC01573, MIR4674HG, NALT, TCONS_l2_00029132	NOTCH1 associated lncRNA in T cell acute lymphoblastic leukemia 1	MIR4674 host gene (non-protein coding)|MIR4674HG, LINC01573|NOTCH1 associated long non-coding RNA in pediatric T-ALL|long intergenic non-protein coding RNA 1573	9q34.3	9	NC_000009.12	136547842	136549744	plus	3		
9606	Homo sapiens	338436	0	live	BLACE		B cell acute lymphoblastic leukemia expressed		7q36.3	7	NC_000007.14	155356988	155367933	minus	6	608450	
9606	Homo sapiens	1029	0	live	CDKN2A	ARF, CDK4I, CDKN2, CMM2, INK4, INK4A, MLM, MTS-1, MTS1, P14, P14ARF, P16, P16-INK4A, P16INK4, P16INK4A, P19, P19ARF, TP16	cyclin dependent kinase inhibitor 2A	cyclin-dependent kinase inhibitor 2A|CDK4 inhibitor p16-INK4|alternative reading frame|cell cycle negative regulator beta|cyclin-dependent kinase 4 inhibitor A|cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)|multiple tumor suppressor 1	9p21.3	9	NC_000009.12	21967752	21995043	minus	8	600160	
9606	Homo sapiens	5142	0	live	PDE4B	DPDE4, PDEIVB	phosphodiesterase 4B	cAMP-specific 3',5'-cyclic phosphodiesterase 4B|dunce-like phosphodiesterase E4|phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)	1p31.3	1	NC_000001.11	65792510	66374579	plus	25	600127	
9606	Homo sapiens	3600	0	live	IL15	IL-15	interleukin 15	interleukin-15	4q31.21	4	NC_000004.12	141636596	141733987	plus	10	600554	
9606	Homo sapiens	8626	0	live	TP63	AIS, B(p51A), B(p51B), EEC3, KET, LMS, NBP, OFC8, RHS, SHFM4, TP53CP, TP53L, TP73L, p40, p51, p53CP, p63, p73H, p73L	tumor protein p63	tumor protein 63|amplified in squamous cell carcinoma|chronic ulcerative stomatitis protein|keratinocyte transcription factor KET|transformation-related protein 63|tumor protein p53-competing protein	3q28	3	NC_000003.12	189596746	189897279	plus	17	603273	
9606	Homo sapiens	2625	0	live	GATA3	HDR, HDRS	GATA binding protein 3	trans-acting T-cell-specific transcription factor GATA-3|GATA-binding factor 3	10p14	10	NC_000010.11	8045420	8075201	plus	8	131320	
9606	Homo sapiens	8202	0	live	NCOA3	ACTR, AIB-1, AIB1, CAGH16, CTG26, KAT13B, RAC3, SRC-3, SRC3, TNRC14, TNRC16, TRAM-1, bHLHe42, pCIP	nuclear receptor coactivator 3	nuclear receptor coactivator 3|CBP-interacting protein|amplified in breast cancer 1 protein|class E basic helix-loop-helix protein 42|receptor-associated coactivator 3|steroid receptor coactivator protein 3|thyroid hormone receptor activator molecule 1	20q13.12	20	NC_000020.11	47501857	47656877	plus	23	601937	
9606	Homo sapiens	6262	0	live	RYR2	ARVC2, ARVD2, RYR-2, RyR, VTSIP	ryanodine receptor 2	ryanodine receptor 2|cardiac muscle ryanodine receptor-calcium release channel|cardiac-type ryanodine receptor|islet-type ryanodine receptor|kidney-type ryanodine receptor|ryanodine receptor 2 (cardiac)|type 2 ryanodine receptor	1q43	1	NC_000001.11	237042208	237833988	plus	107	180902	
9606	Homo sapiens	3738	0	live	KCNA3	HGK5, HLK3, HPCN3, HUKIII, KV1.3, MK3, PCN3	potassium voltage-gated channel subfamily A member 3	potassium voltage-gated channel subfamily A member 3|potassium channel 3|potassium channel, voltage gated shaker related subfamily A, member 3|potassium voltage-gated channel, shaker-related subfamily, member 3|type n potassium channel|voltage-gated K(+) channel HuKIII|voltage-gated potassium channel protein Kv1.3|voltage-gated potassium channel subunit Kv1.3	1p13.3	1	NC_000001.11	110653560	110675033	minus	4	176263	
9606	Homo sapiens	5305	0	live	PIP4K2A	PI5P4KA, PIP5K2A, PIP5KII-alpha, PIP5KIIA, PIPK	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha	phosphatidylinositol 5-phosphate 4-kinase type-2 alpha|1-phosphatidylinositol 5-phosphate 4-kinase 2-alpha|1-phosphatidylinositol-4-phosphate kinase|1-phosphatidylinositol-4-phosphate-5-kinase|PI(5)P 4-kinase type II alpha|PIP4KII-alpha|PIP5KIII|PIP5KIIalpha|PtdIns(4)P-5-kinase B isoform|diphosphoinositide kinase 2-alpha|phosphatidylinositol 5-phosphate 4-kinase type II alpha|phosphatidylinositol-4-phosphate 5-kinase, type II, alpha|ptdIns(4)P-5-kinase C isoform|ptdIns(5)P-4-kinase isoform 2-alpha|type II phosphatidylinositol-4-phosphate 5-kinase 53 K isoform	10p12.2	10	NC_000010.11	22534837	22714574	minus	13	603140	
9606	Homo sapiens	84441	0	live	MAML2	MAM-3, MAM2, MAM3, MLL-MAML2	mastermind like transcriptional coactivator 2	mastermind-like protein 2|mam-2|mastermind-like 2	11q21	11	NC_000011.10	95976593	96343308	minus	7	607537	
